district_id,district_name,channel_title,url,status
111801,LAKE GRANBURY ACADEMY CHARTER SCHOOL,,,not_found
130801,MEADOWLAND CHARTER DISTRICT,,,not_found
066005,RAMIREZ CSD,,,not_found
133905,DIVIDE ISD,,,not_found
086024,DOSS CONSOLIDATED CSD,,,not_found
240503,TEXAS A&M INTERNATIONAL UNIVERSITY ISD,,,not_found
101907,CYPRESS-FAIRBANKS ISD,Cypress-Fairbanks ISD,https://www.youtube.com/channel/UCEoRQL4CCofXkIh3UgD_qIg,found
101917,PASADENA ISD,PasadenaISDTX,https://www.youtube.com/channel/UCGCK5sar0hUfuyKCO45BxJg,found
227904,PFLUGERVILLE ISD,,,not_found
186902,FORT STOCKTON ISD,,,not_found
011901,BASTROP ISD,,,not_found
177901,ROSCOE COLLEGIATE ISD,,,not_found
163908,MEDINA VALLEY ISD,MVISD,https://www.youtube.com/channel/UC2N_XaIvkbxUr49i3itAeEg,found
094901,SEGUIN ISD,,,not_found
019907,TEXARKANA ISD,,,not_found
129901,CRANDALL ISD,,,not_found
070903,ENNIS ISD,,,not_found
178914,FLOUR BLUFF ISD,,,not_found
129906,TERRELL ISD,,,not_found
091903,DENISON ISD,,,not_found
212903,LINDALE ISD,,,not_found
092904,PINE TREE ISD,PTISD Pirates,https://www.youtube.com/channel/UCoN8SnJYmsZW06HwWm0B_rQ,found
247901,FLORESVILLE ISD,,,not_found
178903,CALALLEN ISD,,,not_found
092902,KILGORE ISD,,,not_found
072903,STEPHENVILLE ISD,,,not_found
247903,LA VERNIA ISD,,,not_found
029901,CALHOUN COUNTY ISD,,,not_found
025902,BROWNWOOD ISD,,,not_found
114901,BIG SPRING ISD,,,not_found
165902,GREENWOOD ISD,,,not_found
181908,LITTLE CYPRESS-MAURICEVILLE CISD,,,not_found
027903,BURNET CISD,,,not_found
181901,BRIDGE CITY ISD,,,not_found
013901,BEEVILLE ISD,,,not_found
086901,FREDERICKSBURG ISD,,,not_found
071904,SAN ELIZARIO ISD,,,not_found
234907,WILLS POINT ISD,,,not_found
237905,ROYAL ISD,,,not_found
100905,HARDIN-JEFFERSON ISD,,,not_found
094903,NAVARRO ISD,,,not_found
091908,VAN ALSTYNE ISD,,,not_found
181906,WEST ORANGE-COVE CISD,,,not_found
107902,BROWNSBORO ISD,,,not_found
139911,NORTH LAMAR ISD,,,not_found
161922,ROBINSON ISD,,,not_found
154901,MADISONVILLE CISD,,,not_found
238902,MONAHANS-WICKETT-PYOTE ISD,,,not_found
184909,BROCK ISD,,,not_found
121904,JASPER ISD,,,not_found
037907,RUSK ISD,,,not_found
014804,ORENDA CHARTER SCHOOL,,,not_found
019908,LIBERTY-EYLAU ISD,,,not_found
243903,IOWA PARK CISD,,,not_found
092907,SPRING HILL ISD,,,not_found
075902,LA GRANGE ISD,,,not_found
056901,DALHART ISD,,,not_found
014901,ACADEMY ISD,,,not_found
178915,WEST OSO ISD,,,not_found
071801,BURNHAM WOOD CHARTER SCHOOL DISTRICT,,,not_found
163904,HONDO ISD,,,not_found
190903,RAINS ISD,,,not_found
227804,NYOS CHARTER SCHOOL,,,not_found
125903,ORANGE GROVE ISD,,,not_found
221911,JIM NED CISD,,,not_found
015914,FT SAM HOUSTON ISD,,,not_found
204901,COLDSPRING-OAKHURST CISD,,,not_found
036903,EAST CHAMBERS ISD,,,not_found
068802,COMPASS ACADEMY CHARTER SCHOOL,,,not_found
036901,ANAHUAC ISD,,,not_found
003907,CENTRAL ISD,,,not_found
121903,BUNA ISD,,,not_found
028903,LULING ISD,,,not_found
015906,RANDOLPH FIELD ISD,,,not_found
245902,LYFORD CISD,,,not_found
126904,GRANDVIEW ISD,,,not_found
045903,RICE CISD,,,not_found
057835,GOLDEN RULE CHARTER SCHOOL,,,not_found
140904,LITTLEFIELD ISD,,,not_found
187910,ONALASKA ISD,,,not_found
229903,WOODVILLE ISD,,,not_found
101802,SER-NINOS CHARTER SCHOOL,,,not_found
120905,INDUSTRIAL ISD,,,not_found
243906,CITY VIEW ISD,,,not_found
049905,CALLISBURG ISD,,,not_found
152908,ROOSEVELT ISD,,,not_found
230906,NEW DIANA ISD,Diana Miller,https://www.youtube.com/channel/UCyVzqQ-glT5qXx_8nJwjViQ,found
101804,GEORGE I SANCHEZ CHARTER,,,not_found
019905,NEW BOSTON ISD,,,not_found
057828,WINFREE ACADEMY CHARTER SCHOOLS,,,not_found
174908,CENTRAL HEIGHTS ISD,,,not_found
130902,COMFORT ISD,,,not_found
158902,TIDEHAVEN ISD,,,not_found
043917,BLUE RIDGE ISD,,,not_found
201914,WEST RUSK COUNTY CONSOLIDATED ISD,,,not_found
128901,KARNES CITY ISD,,,not_found
089903,NIXON-SMILEY CISD,,,not_found
015913,LACKLAND ISD,,,not_found
152910,IDALOU ISD,,,not_found
101872,ETOILE ACADEMY CHARTER SCHOOL,,,not_found
124901,JIM HOGG COUNTY ISD,,,not_found
091914,S AND S CISD,,,not_found
160901,BRADY ISD,,,not_found
225906,CHAPEL HILL ISD,Chapel Hill ISD,https://www.youtube.com/channel/UC-8CkSNjV6RNQLVTOAgJDjw,found
168901,COLORADO ISD,,,not_found
174906,WODEN ISD,,,not_found
220810,WESTLAKE ACADEMY CHARTER SCHOOL,,,not_found
172905,PEWITT CISD,,,not_found
049903,VALLEY VIEW ISD,,,not_found
161918,AXTELL ISD,,,not_found
187904,CORRIGAN-CAMDEN ISD,,,not_found
074909,LEONARD ISD,,,not_found
219903,TULIA ISD,,,not_found
235901,BLOOMINGTON ISD,,,not_found
013905,SKIDMORE-TYNAN ISD,,,not_found
102906,ELYSIAN FIELDS ISD,,,not_found
127904,HAWLEY ISD,,,not_found
112908,COMO-PICKTON CISD,,,not_found
188903,HIGHLAND PARK ISD,,,not_found
117903,SANFORD-FRITCH ISD,,,not_found
178913,BANQUETE ISD,,,not_found
206901,SAN SABA ISD,,,not_found
152902,NEW DEAL ISD,,,not_found
230908,UNION GROVE ISD,,,not_found
198905,HEARNE ISD,,,not_found
016901,JOHNSON CITY ISD,,,not_found
114904,FORSAN ISD,,,not_found
101859,STEP CHARTER SCHOOL,,,not_found
122901,FT DAVIS ISD,,,not_found
196903,REFUGIO ISD,,,not_found
109907,ITASCA ISD,,,not_found
166905,THORNDALE ISD,,,not_found
057834,EVOLUTION ACADEMY CHARTER SCHOOL,,,not_found
175904,DAWSON ISD,,,not_found
097903,HICO ISD,,,not_found
053001,CROCKETT COUNTY CONSOLIDATED CSD,,,not_found
034905,LINDEN-KILDARE CISD,,,not_found
198906,MUMFORD ISD,,,not_found
203901,SAN AUGUSTINE ISD,,,not_found
012901,SEYMOUR ISD,,,not_found
227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,,,not_found
127906,STAMFORD ISD,,,not_found
178908,PORT ARANSAS ISD,,,not_found
182904,SANTO ISD,,,not_found
001902,CAYUGA ISD,,,not_found
062904,YORKTOWN ISD,,,not_found
249904,CHICO ISD,,,not_found
117904,PLEMONS-STINNETT-PHILLIPS CISD,,,not_found
161919,BRUCEVILLE-EDDY ISD,,,not_found
095903,HALE CENTER ISD,,,not_found
101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,,,not_found
174902,CUSHING ISD,,,not_found
104901,HASKELL CISD,,,not_found
100908,WEST HARDIN COUNTY CISD,,,not_found
133901,CENTER POINT ISD,,,not_found
083901,SEAGRAVES ISD,,,not_found
136901,BRACKETT ISD,,,not_found
167901,GOLDTHWAITE ISD,,,not_found
031913,SANTA MARIA ISD,,,not_found
057831,GATEWAY CHARTER ACADEMY,,,not_found
039903,PETROLIA CISD,,,not_found
005904,WINDTHORST ISD,,,not_found
037901,ALTO ISD,,,not_found
201907,MOUNT ENTERPRISE ISD,,,not_found
194904,CLARKSVILLE ISD,,,not_found
112906,NORTH HOPKINS ISD,,,not_found
194905,DETROIT ISD,,,not_found
198901,BREMOND ISD,,,not_found
231901,MCCAMEY ISD,,,not_found
111902,LIPAN ISD,,,not_found
074917,SAM RAYBURN ISD,,,not_found
140908,SUDAN ISD,,,not_found
105803,KI CHARTER,,,not_found
125902,BEN BOLT-PALITO BLANCO ISD,,,not_found
128904,FALLS CITY ISD,,,not_found
236802,SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,,,not_found
146905,HULL-DAISETTA ISD,,,not_found
121906,EVADALE ISD,,,not_found
174911,DOUGLASS ISD,,,not_found
138903,MUNDAY CISD,,,not_found
165802,MIDLAND ACADEMY CHARTER SCHOOL,,,not_found
207901,SCHLEICHER ISD,,,not_found
232901,KNIPPA ISD,,,not_found
127903,HAMLIN COLLEGIATE ISD,,,not_found
196902,WOODSBORO ISD,,,not_found
115901,FT HANCOCK ISD,,,not_found
121902,BROOKELAND ISD,,,not_found
011905,MCDADE ISD,,,not_found
203902,BROADDUS ISD,,,not_found
123913,SABINE PASS ISD,,,not_found
071809,VISTA DEL FUTURO CHARTER SCHOOL,,,not_found
015844,ESSENCE PREPARATORY CHARTER SCHOOL,,,not_found
070901,AVALON ISD,,,not_found
101837,CALVIN NELMS CHARTER SCHOOLS,,,not_found
101878,HOUSTON CLASSICAL CHARTER SCHOOL,,,not_found
180902,VEGA ISD,,,not_found
001906,NECHES ISD,,,not_found
109913,BLUM ISD,,,not_found
118902,IRION COUNTY ISD,,,not_found
154903,NORTH ZULCH ISD,,,not_found
186903,IRAAN-SHEFFIELD COLLEGIATE ISD,,,not_found
072908,HUCKABAY ISD,,,not_found
119903,PERRIN-WHITT CISD,,,not_found
001909,SLOCUM ISD,,,not_found
054901,CROSBYTON CISD,,,not_found
046802,TRINITY CHARTER SCHOOL,,,not_found
112907,MILLER GROVE ISD,,,not_found
074904,DODD CITY ISD,,,not_found
074911,SAVOY ISD,,,not_found
250905,YANTIS ISD,,,not_found
227819,UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,,,not_found
101875,BLOOM ACADEMY CHARTER SCHOOL,,,not_found
040902,WHITEFACE CISD,,,not_found
076903,ROBY CISD,,,not_found
101855,MEYERPARK CHARTER,,,not_found
087901,GLASSCOCK COUNTY ISD,,,not_found
