district_id,district_name,county,enrollment,website_url,video_platform,video_url,archive_start_year,youtube_channel_id,notes,confidence,last_checked,video_status,score
026903,SNOOK ISD,BURLESON COUNTY,609,https://www.snookisd.org,facebook_live,https://www.snookisd.org/live-feed,,,Crawler found: facebook_live. Crawled 1 pages. Score: 93/100.,high,2026-04-21,crawler_found,93
028902,LOCKHART ISD,CALDWELL COUNTY,6753,https://www.lockhartisd.org,swagit,http://lockhartisdtx.swagit.com/live,,channel/UCozyYrMtP1TTDm137YUuJBQ,"Crawler found: boardbook, swagit, youtube. Crawled 7 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
028906,PRAIRIE LEA ISD,CALDWELL COUNTY,267,https://www.plisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2719\,,,"Crawler found: boardbook, facebook_live. Crawled 2 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
030901,CROSS PLAINS ISD,CALLAHAN COUNTY,365,https://www.crossplainsisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2668,,,Crawler found: boardbook. Crawled 5 pages. Score: 65/100.,medium,2026-04-21,crawler_found,65
030902,CLYDE CISD,CALLAHAN COUNTY,1392,https://www.clydeisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/661,,,Crawler found: boardbook. Crawled 3 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
030903,BAIRD ISD,CALLAHAN COUNTY,348,https://www.bairdisd.org,youtube,http://www.youtube.com/@bairdisd474,,@bairdisd474,"Crawler found: boardbook, youtube. Crawled 7 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
030906,EULA ISD,CALLAHAN COUNTY,503,https://www.eulaisd.us,facebook_live,https://www.eulaisd.us/live-feed,,,Crawler found: facebook_live. Crawled 4 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
031903,HARLINGEN CISD,CAMERON COUNTY,16471,https://www.hcisd.org,youtube,https://www.youtube.com/@HCISDTV,,@HCISDTV,Crawler found: youtube. Crawled 8 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
031906,LOS FRESNOS CISD,CAMERON COUNTY,10357,https://www.lfcisd.net,youtube,https://www.youtube.com/@RSLN,,@RSLN,Crawler found: youtube. Crawled 6 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
031913,SANTA MARIA ISD,CAMERON COUNTY,512,https://www.smisd.net,zoom,https://us06web.zoom.us/rec/share/W4D3u9GriacV27P29_JExt3Y4YsAlesknLfcotzTeV3tMtT8kgpbcmjJ5TSfpqP3.Ri0AXvKYcvskzZPR,,,Crawler found: zoom. Crawled 4 pages. Score: 85/100.,high,2026-04-25,crawler_found,85
031916,SOUTH TEXAS ISD,CAMERON COUNTY,4639,https://www.stisd.net,youtube,https://www.youtube.com/user/mySTISD,,@mySTISD,Crawler found: youtube. Crawled 4 pages. Score: 100/100.,high,2026-04-21,crawler_found,100
032902,PITTSBURG ISD,CAMP COUNTY,2245,https://www.pittsburgisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/1450,,,Crawler found: boardbook. Crawled 3 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
033901,GROOM ISD,CARSON COUNTY,130,https://www.groomisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/1884\,,,Crawler found: boardbook. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
033902,PANHANDLE ISD,CARSON COUNTY,620,https://www.panhandleisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/967\,,,"Crawler found: boardbook, facebook_live. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,crawler_found,78
033904,WHITE DEER ISD,CARSON COUNTY,322,https://www.whitedeerisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/1414,,,Crawler found: boardbook. Crawled 8 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
034902,AVINGER ISD,CASS COUNTY,112,https://www.avingerisd.net,website_archive,https://www.avingerisd.net/board-of-trustees,,,Crawler found: website_archive. Crawled 5 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
034903,HUGHES SPRINGS ISD,CASS COUNTY,1090,https://www.hsisd.org,boarddocs,https://www.hsisd.org/board-of-education,,,Crawler found: boarddocs. Crawled 6 pages. Score: 100/100.,high,2026-04-21,crawler_found,100
034906,MCLEOD ISD,CASS COUNTY,424,https://www.mcleodisd.net,website_archive,https://www.mcleodisd.net/school-board-home,,,Crawler found: website_archive. Crawled 8 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
034907,QUEEN CITY ISD,CASS COUNTY,867,https://www.qcisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2198\,,,"Crawler found: boardbook, facebook_live. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,crawler_found,78
034909,BLOOMBURG ISD,CASS COUNTY,229,https://www.bloomburgisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2233,,,Crawler found: boardbook. Crawled 3 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
035901,DIMMITT ISD,CASTRO COUNTY,1077,https://www.dimmittisd.net,website_archive,https://www.dimmittisd.net/school-board-home,,,Crawler found: website_archive. Crawled 5 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
035902,HART ISD,CASTRO COUNTY,206,https://www.hartisd.net,facebook_live,https://www.hartisd.net/live-feed,,,Crawler found: facebook_live. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
037901,ALTO ISD,CHEROKEE COUNTY,505,https://www.altoschools.org,youtube,https://www.youtube.com/user/istpnet,,@istpnet,Crawler found: youtube. Crawled 8 pages. Score: 75/100.,medium,2026-04-25,crawler_found,75
037904,JACKSONVILLE ISD,CHEROKEE COUNTY,4700,https://www.jisd.org,youtube,https://www.youtube.com/@JISDLive,,@JISDLive,Crawler found: youtube. Crawled 8 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
037908,NEW SUMMERFIELD ISD,CHEROKEE COUNTY,526,https://www.newsummerfieldisd.org,facebook_live,https://www.newsummerfieldisd.org/live-feed,,,Crawler found: facebook_live. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
038901,CHILDRESS ISD,CHILDRESS COUNTY,978,https://www.childressisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2242\,,,"Crawler found: boardbook, facebook_live. Crawled 1 pages. Score: 93/100.",high,2026-04-21,crawler_found,93
039902,HENRIETTA ISD,CLAY COUNTY,886,https://www.henrietta-isd.net,youtube,https://www.youtube.com/channel/UCqvt2Fi0ZaK6eo7346K7Uhg,,channel/UCqvt2Fi0ZaK6eo7346K7Uhg,"Crawler found: boardbook, facebook_live, youtube. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,crawler_found,78
039904,BELLEVUE ISD,CLAY COUNTY,234,https://www.bellevueisd.org,website_archive,https://www.bellevueisd.org/vnews/display.v/SEC/School%20Board/Admin,,,Crawler found: website_archive. Crawled 8 pages. Score: 60/100.,medium,2026-04-21,crawler_found,60
039905,MIDWAY ISD,CLAY COUNTY,137,https://www.midwayisd.net,website_archive,https://www.midwayisd.net/board-minutes-agenda-2,,,Crawler found: website_archive. Crawled 2 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
040901,MORTON ISD,COCHRAN COUNTY,368,https://www.mortonisd.org,youtube,https://www.youtube.com/@MortonISD,,@MortonISD,"Crawler found: facebook_live, youtube. Crawled 2 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
042901,COLEMAN ISD,COLEMAN COUNTY,796,https://www.colemanisd.net,website_archive,https://www.colemanisd.net/board,,,Crawler found: website_archive. Crawled 6 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
042903,SANTA ANNA ISD,COLEMAN COUNTY,259,https://www.santaannaisd.net,boarddocs,https://www.santaannaisd.net/school-board,,,Crawler found: boarddocs. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
043902,ANNA ISD,COLLIN COUNTY,6038,https://www.annaisd.org,youtube,http://www.youtube.com/@anna_isd,,@anna_isd,"Crawler found: boardbook, youtube. Crawled 8 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
